2017-08-22 17:28:14 INFO  TestBase:103 - Browser Name Retrieved as :chrome
2017-08-22 17:28:17 INFO  TestBase:228 - Value of WebDriver in TestBase ChromeDriver: chrome on XP (fbadddaf0f0e151f059740feb66d7d26)
2017-08-22 17:28:23 INFO  CreateNewAccountUIActions:108 - Clicked On Sign In Button From Home Page @:[[ChromeDriver: chrome on XP (fbadddaf0f0e151f059740feb66d7d26)] -> css selector: a.login]
2017-08-22 17:28:24 INFO  SignInUIActions:15 - Entered Email ID to SignIn @:[[ChromeDriver: chrome on XP (fbadddaf0f0e151f059740feb66d7d26)] -> css selector: input#email]
2017-08-22 17:28:24 INFO  SignInUIActions:18 - Entered Password to SignIn @:[[ChromeDriver: chrome on XP (fbadddaf0f0e151f059740feb66d7d26)] -> css selector: input#passwd]
2017-08-22 17:28:25 INFO  SignInUIActions:20 - Clicked On Sign-In Button 
2017-08-22 17:28:27 INFO  SignInUIActions:47 - Clicked On Women Category 
2017-08-22 17:28:29 INFO  SignInUIActions:27 - Clicked On Discover Out Stores Button 
2017-08-22 17:28:29 INFO  SignInUIActions:35 - Entered Store Location @:[[ChromeDriver: chrome on XP (fbadddaf0f0e151f059740feb66d7d26)] -> css selector: input#addressInput]
2017-08-22 17:28:30 INFO  SignInUIActions:38 - Clicked On Search Button for Location 
2017-08-22 17:28:30 INFO  TestCase02:96 - Store Name Verified In Search Results as:Pembroke Pines
2017-08-22 17:28:30 INFO  TestCase02:44 - =========== Execution Finished for Test Case02 =============
