2017-08-22 17:26:23 INFO  TestBase:103 - Browser Name Retrieved as :chrome
2017-08-22 17:26:25 INFO  TestBase:228 - Value of WebDriver in TestBase ChromeDriver: chrome on XP (5fd7cec4cc779299e312029699f047d0)
2017-08-22 17:26:31 INFO  CreateNewAccountUIActions:108 - Clicked On Sign In Button From Home Page @:[[ChromeDriver: chrome on XP (5fd7cec4cc779299e312029699f047d0)] -> css selector: a.login]
2017-08-22 17:26:33 INFO  SignInUIActions:15 - Entered Email ID to SignIn @:[[ChromeDriver: chrome on XP (5fd7cec4cc779299e312029699f047d0)] -> css selector: input#email]
2017-08-22 17:26:33 INFO  SignInUIActions:18 - Entered Password to SignIn @:[[ChromeDriver: chrome on XP (5fd7cec4cc779299e312029699f047d0)] -> css selector: input#passwd]
2017-08-22 17:26:40 INFO  SignInUIActions:20 - Clicked On Sign-In Button 
2017-08-22 17:26:47 INFO  SignInUIActions:47 - Clicked On Women Category 
2017-08-22 17:26:55 INFO  SignInUIActions:27 - Clicked On Discover Out Stores Button 
2017-08-22 17:26:56 INFO  SignInUIActions:35 - Entered Store Location @:[[ChromeDriver: chrome on XP (5fd7cec4cc779299e312029699f047d0)] -> css selector: input#addressInput]
2017-08-22 17:26:56 INFO  SignInUIActions:38 - Clicked On Search Button for Location 
2017-08-22 17:26:57 INFO  TestCase02:96 - Store Name Verified In Search Results as:Pembroke Pines
2017-08-22 17:26:57 INFO  TestCase02:44 - =========== Execution Finished for Test Case02 =============
